company,contract_ingestion,clause_extraction,notice_detection,deadline_tracking,rfi_event_ingestion,email_ingestion,daily_report_ingestion,schedule_integration,change_order_workflow,claim_identification,delay_detection,responsibility_attribution,contemporaneous_evidence_graph,evidence_completeness,recoverable_dollar_estimation,claim_package_generation,notice_drafting,schedule_impact_analysis,procore_integration,autodesk_integration,outlook_gmail_integration,mobile_workflow,audit_trail,portfolio_risk,performance_pricing_compatibility,consultant_replacement_potential
Clearstory,1,0,0,1,1,1,1,0,3,1,0,2,2,2,2,1,1,0,3,2,1,3,3,2,1,1
InEight,2,0,1,2,3,3,3,3,3,1,1,2,3,0,1,1,1,2,0,2,3,3,3,2,0,1
FieldCapture_HCSS_eSUB_Raken,1,0,0,1,3,1,3,1,3,1,2,1,2,1,2,1,1,1,3,2,1,3,3,2,1,1
Procore,3,3,1,2,3,3,3,2,3,2,2,1,2,1,1,1,2,2,3,1,3,3,3,3,1,1
Payments_AR_Lien_category,1,0,3,3,0,1,0,0,2,1,0,1,1,3,2,2,3,0,3,3,1,2,3,3,2,2
TrunkTools,3,2,1,2,3,1,2,2,2,0,1,1,2,1,1,0,1,2,2,3,0,3,2,1,1,1
Trimble,3,3,2,2,3,2,3,2,3,1,1,1,2,1,1,1,2,1,3,2,1,3,3,2,0,1
Oracle_Aconex_P6_Unifier,2,0,1,3,3,2,2,3,3,0,2,1,2,1,1,1,2,2,1,2,2,2,3,2,1,1
DocumentCrunch,3,3,2,1,1,0,0,1,1,0,0,1,1,1,0,0,3,0,2,0,1,2,2,2,1,2
Gather_UK_NEC4,2,2,3,3,1,1,3,3,1,3,2,2,3,3,1,2,3,2,2,2,1,3,3,3,1,2
Magra_claimed,3,3,3,3,3,2,3,2,3,3,3,2,2,2,3,3,3,2,1,1,1,3,1,2,3,3
Lexilio,3,3,2,3,0,0,0,0,1,2,0,1,1,0,2,1,3,0,0,0,1,0,3,3,2,2
ScheduleDelay_category_best,1,0,1,1,1,0,1,3,1,1,3,1,1,2,1,1,0,3,3,3,0,1,3,3,1,2
SmartPM,1,0,0,1,0,0,0,3,0,1,3,1,1,1,0,1,0,3,3,3,0,0,2,3,1,2
nPlan,0,0,1,1,0,0,0,3,0,0,2,0,0,1,1,0,0,3,0,0,0,0,1,3,1,2
LegalTech_CLM_category_best,3,3,2,3,1,3,1,1,1,0,0,1,1,1,2,1,2,0,0,0,3,2,3,3,0,1
Autodesk_ACC,2,1,0,2,3,3,2,3,3,1,1,1,3,1,1,1,1,1,2,3,2,3,2,3,0,0
ClaimsConsultants,3,3,2,1,3,3,3,3,1,3,3,3,2,2,3,3,2,3,0,1,1,0,3,2,1,0
Contradic_FR,3,3,2,3,1,3,1,1,1,3,2,2,3,2,0,3,2,0,0,0,1,0,2,1,1,3
BauAgent_DE,1,1,2,2,0,1,3,0,2,2,1,1,2,1,0,2,3,0,0,0,2,3,3,1,2,2
Easyclaim_DE,1,0,0,0,0,0,0,1,2,1,0,0,0,1,3,3,0,1,0,0,0,0,3,0,3,3
ContraVault_IN,3,3,2,2,1,2,1,1,1,2,1,1,2,2,0,2,2,0,2,2,1,1,2,1,0,2
DIY_substitute_stack,2,2,1,1,3,2,3,2,3,1,1,2,1,0,2,2,2,2,2,2,2,3,2,1,2,1
