company,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10
Votigo,4,4,4,4,4,3,4,4,4,3,2,2,1,1,1,2,2,?,?,?,2,2,1,1,?,1,?,1,?,0,?,2,?,1,2,1,2,1,1,?,2,2,1,2,1,?,2,2,1,?,1,?,2,2,1,?,2,?,1,1,3,2,2,1,1,?,?,2,2,2,2,1,2,?,1,?,?,?,?,?,2,1,4,1,3,3,3,1,1,2,1,1,1,0,0,0,1,0,1,0
Sweeppea,4,2,1,4,3,4,4,3,3,3,1,2,0,1,1,2,2,0,0,0,3,2,2,1,?,1,1,1,1,1,1,1,0,1,0,1,2,1,?,1,2,2,?,2,1,?,1,2,1,0,1,1,1,1,1,0,1,0,0,0,2,?,?,0,1,0,1,1,1,1,3,2,1,1,1,0,1,1,2,1,2,2,4,0,2,3,3,1,1,4,1,0,1,0,0,0,1,0,1,0
Realtime Media,4,4,4,4,4,3,4,4,4,3,2,2,?,1,?,2,2,?,?,?,2,2,1,1,?,1,1,2,?,0,?,1,?,?,1,?,1,?,?,?,2,1,1,1,2,?,3,2,1,?,1,1,2,1,1,?,2,?,2,2,2,?,?,1,1,?,1,?,?,3,2,?,?,?,?,?,0,?,?,0,2,1,4,1,4,0,4,1,2,1,1,1,2,1,0,?,1,?,1,0
ShortStack,4,4,3,2,1,1,4,3,1,0,1,1,0,1,1,2,1,0,1,0,2,1,0,1,?,0,0,1,0,0,1,1,0,2,?,1,1,1,1,1,0,1,0,2,1,?,1,2,1,1,1,1,2,2,?,0,2,0,0,1,3,3,?,2,1,1,1,2,1,2,2,0,2,1,?,?,?,?,1,0,1,1,4,1,2,4,1,1,1,3,1,1,1,0,0,0,1,0,1,0
ViralSweep,4,4,3,2,3,2,4,3,2,2,1,1,0,1,1,2,2,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,2,1,1,1,1,0,0,1,1,1,2,?,0,2,2,1,1,1,1,1,2,1,0,1,0,0,0,2,1,?,0,1,0,0,2,0,1,2,0,2,0,0,?,0,?,1,0,1,1,4,0,2,4,2,1,1,3,1,1,1,0,0,0,0,0,1,0
Talon.One,0,0,1,0,0,0,1,0,1,0,4,4,3,2,3,4,4,3,3,1,1,1,1,2,2,0,2,1,0,0,2,3,2,3,2,2,1,2,?,2,0,0,0,1,1,0,1,1,0,1,4,3,2,3,4,2,3,2,2,2,3,3,3,2,3,3,3,3,2,3,4,3,3,3,2,1,2,3,2,1,0,3,4,1,4,1,2,3,3,1,1,1,1,1,2,1,1,1,1,1
Voucherify,0,0,1,0,0,0,1,0,1,0,4,4,3,2,3,4,4,3,2,1,1,1,1,2,1,0,1,2,0,0,3,3,1,3,2,2,2,2,?,2,0,1,0,2,0,0,1,?,0,1,4,3,2,3,3,2,4,3,3,1,3,3,2,3,3,2,3,3,3,3,4,3,3,3,3,1,3,3,2,2,1,4,4,1,3,3,2,3,2,3,1,1,1,0,2,1,1,1,1,1
Open Loyalty,1,2,3,0,0,0,2,1,2,0,4,1,1,0,1,4,4,1,3,1,1,1,0,2,1,0,1,0,0,0,2,3,1,3,1,2,2,?,?,2,0,1,0,1,0,0,1,1,0,1,4,4,3,4,4,2,3,2,3,2,4,2,3,0,3,3,2,3,3,3,4,1,3,3,3,?,3,1,3,1,0,4,4,0,3,0,2,3,3,1,1,0,0,1,0,1,1,1,1,0
GeoComply,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,1,3,?,?,1,3,2,2,1,?,2,?,1,?,0,2,3,?,2,1,2,3,2,2,2,3,3,2,4,3,4,3,3,2,3,0,0,0,0,0,0,0,0,0,0,2,?,?,1,2,?,1,?,2,3,2,3,?,1,?,?,?,2,?,0,4,2,0,3,4,1,3,3,3,1,2,0,0,?,2,3,2,1,2,1
Persona,0,0,0,0,0,0,0,0,0,1,3,1,1,4,3,4,4,1,2,1,2,1,1,1,3,1,2,1,0,1,3,3,3,3,3,2,3,3,1,3,4,3,3,2,3,3,3,3,4,4,0,0,0,0,0,0,0,0,0,1,3,3,3,2,3,3,3,4,?,3,4,3,4,3,4,3,3,3,2,0,3,3,1,3,4,3,2,2,2,2,2,1,1,1,2,3,2,1,2,2
Socure,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,3,3,3,3,2,2,2,1,?,3,1,3,1,1,1,3,4,2,3,3,3,3,?,?,3,4,4,3,1,3,2,4,3,4,3,0,0,0,0,0,0,0,0,0,1,3,3,3,2,3,3,3,3,?,3,4,3,3,3,2,?,3,3,1,?,3,3,1,4,4,3,2,3,2,1,2,1,1,2,2,3,2,2,2,2
OPA,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,4,2,2,3,2,2,2,2,2,2,0,1,0,2,0,3,3,3,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,2,4,2,2,0,1,4,3,2,3,3,2,1,4,3,3,1,4,0,1,4,4,2,3,2,4,2,1,0,1,3,1,2,2,1,2
AWS Verified Permissions / Cedar,0,0,0,0,0,0,0,0,0,0,4,4,3,2,2,4,1,3,2,1,1,1,1,2,0,0,2,0,1,0,1,2,1,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,0,2,3,2,1,3,4,4,4,1,2,3,3,4,2,3,4,1,4,0,1,3,4,1,2,2,4,1,1,0,1,2,0,1,1,1,1
Cerbos,0,0,0,0,0,0,0,0,0,0,4,4,3,2,3,4,2,3,3,2,2,1,1,2,4,0,1,1,0,0,3,4,4,4,1,3,2,3,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,3,3,2,1,3,4,3,1,2,3,4,4,1,3,2,2,2,3,3,3,1,4,0,1,3,3,1,2,2,3,2,2,1,1,3,1,3,2,1,2
Permit.io,0,0,0,0,0,0,0,0,0,0,4,4,3,2,2,4,3,1,2,3,2,1,1,2,3,0,2,1,0,0,2,4,2,3,2,2,2,2,?,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,4,3,2,2,4,3,3,2,2,3,4,4,2,3,3,2,3,3,4,3,1,4,0,1,3,4,1,2,2,3,2,2,1,2,3,1,2,2,1,2
