company,square,agent_score,final_score,claim_ids,override_reason
Votigo,A01,4,4,VOTIGO-001;VOTIGO-002;VOTIGO-003;VOTIGO-029,
Votigo,A02,4,4,VOTIGO-012;VOTIGO-023,
Votigo,A03,4,4,VOTIGO-017;VOTIGO-023,
Votigo,A04,4,4,VOTIGO-004;VOTIGO-032;VOTIGO-003,
Votigo,A05,4,4,VOTIGO-003;VOTIGO-004;VOTIGO-025,
Votigo,A06,3,3,VOTIGO-017;VOTIGO-034,
Votigo,A07,4,4,VOTIGO-001;VOTIGO-012;VOTIGO-023,
Votigo,A08,4,4,VOTIGO-006;VOTIGO-003,
Votigo,A09,4,4,VOTIGO-009;VOTIGO-025,
Votigo,A10,3,3,VOTIGO-007,
Votigo,B01,2,2,VOTIGO-010;VOTIGO-012,
Votigo,B02,2,2,VOTIGO-036;VOTIGO-021,
Votigo,B03,2,1,VOTIGO-017;VOTIGO-018;VOTIGO-036,latency evidence is a marketing '<1s' stat for Votigo's own fraud layer; no externally callable decision endpoint (VOTIGO-036 concedes sync evaluation exists only inside hosted flows); 2 unsupported vs peers scored 0-1 for equivalent in-flow evaluation
Votigo,B04,1,1,VOTIGO-019,
Votigo,B05,1,1,VOTIGO-021,
Votigo,B06,2,2,VOTIGO-010;VOTIGO-012,
Votigo,B07,2,2,VOTIGO-018;VOTIGO-033,
Votigo,B08,?,?,,
Votigo,B09,?,?,,
Votigo,B10,?,?,,
Votigo,C01,2,2,VOTIGO-004;VOTIGO-005;VOTIGO-015;VOTIGO-020,
Votigo,C02,2,2,VOTIGO-005,
Votigo,C03,1,1,VOTIGO-004;VOTIGO-029,
Votigo,C04,1,1,VOTIGO-017,
Votigo,C05,?,?,,
Votigo,C06,1,1,VOTIGO-034,
Votigo,C07,?,?,,
Votigo,C08,1,1,VOTIGO-004;VOTIGO-032,
Votigo,C09,?,?,,
Votigo,C10,0,0,VOTIGO-010;VOTIGO-011,
Votigo,D01,?,?,,
Votigo,D02,2,2,VOTIGO-006,
Votigo,D03,?,?,,
Votigo,D04,1,1,VOTIGO-021;VOTIGO-008,
Votigo,D05,2,2,VOTIGO-008,
Votigo,D06,1,1,VOTIGO-006,
Votigo,D07,2,2,VOTIGO-004;VOTIGO-006,
Votigo,D08,1,1,VOTIGO-030,
Votigo,D09,1,1,VOTIGO-006,
Votigo,D10,?,?,,
Votigo,E01,2,2,VOTIGO-008,
Votigo,E02,2,2,VOTIGO-005;VOTIGO-003,
Votigo,E03,1,1,VOTIGO-009,
Votigo,E04,2,2,VOTIGO-015;VOTIGO-018,
Votigo,E05,1,1,VOTIGO-018,
Votigo,E06,?,?,,
Votigo,E07,2,2,VOTIGO-013;VOTIGO-018,
Votigo,E08,2,2,VOTIGO-013;VOTIGO-018,
Votigo,E09,1,1,VOTIGO-019,
Votigo,E10,?,?,,
Votigo,F01,1,1,VOTIGO-033,
Votigo,F02,?,?,,
Votigo,F03,2,2,VOTIGO-006;VOTIGO-021,
Votigo,F04,2,2,VOTIGO-021;VOTIGO-022,
Votigo,F05,1,1,VOTIGO-017,
Votigo,F06,?,?,,
Votigo,F07,2,2,VOTIGO-022,
Votigo,F08,?,?,,
Votigo,F09,1,1,VOTIGO-033,
Votigo,F10,1,1,VOTIGO-014;VOTIGO-022,
Votigo,G01,3,3,VOTIGO-016;VOTIGO-024,
Votigo,G02,2,2,VOTIGO-013;VOTIGO-016,
Votigo,G03,2,2,VOTIGO-016,
Votigo,G04,1,1,VOTIGO-023,
Votigo,G05,1,1,VOTIGO-010,
Votigo,G06,?,?,,
Votigo,G07,?,?,,
Votigo,G08,2,2,VOTIGO-012,
Votigo,G09,2,2,VOTIGO-031;VOTIGO-016,
Votigo,G10,2,2,VOTIGO-013;VOTIGO-014;VOTIGO-030,
Votigo,H01,2,2,VOTIGO-010;VOTIGO-011;VOTIGO-016,
Votigo,H02,1,1,VOTIGO-010,
Votigo,H03,2,2,VOTIGO-012,
Votigo,H04,?,?,,
Votigo,H05,1,1,VOTIGO-010,
Votigo,H06,?,?,,
Votigo,H07,?,?,,
Votigo,H08,?,?,,
Votigo,H09,?,?,,
Votigo,H10,?,?,,
Votigo,I01,2,2,VOTIGO-004;VOTIGO-028,
Votigo,I02,1,1,VOTIGO-016;VOTIGO-011,
Votigo,I03,4,4,VOTIGO-001;VOTIGO-016;VOTIGO-023;VOTIGO-026,
Votigo,I04,1,1,VOTIGO-018,
Votigo,I05,3,3,VOTIGO-003;VOTIGO-023;VOTIGO-025;VOTIGO-026,
Votigo,I06,3,3,VOTIGO-016,
Votigo,I07,3,3,VOTIGO-016;VOTIGO-024;VOTIGO-025;VOTIGO-028,
Votigo,I08,1,1,VOTIGO-028;VOTIGO-035,
Votigo,I09,3,1,VOTIGO-035,direction normalization: agent used 3 to mean LOW integration burden; category convention is intensity (higher=heavier); hosted microsite/iframe model = minimal burden
Votigo,I10,2,2,VOTIGO-016,
Votigo,J01,1,1,VOTIGO-015;VOTIGO-020,
Votigo,J02,1,1,VOTIGO-004;VOTIGO-032,
Votigo,J03,1,1,VOTIGO-032,
Votigo,J04,0,0,VOTIGO-020,
Votigo,J05,0,0,VOTIGO-010;VOTIGO-011,
Votigo,J06,0,0,VOTIGO-012,
Votigo,J07,1,1,VOTIGO-006;VOTIGO-008,
Votigo,J08,0,0,VOTIGO-010;VOTIGO-011,
Votigo,J09,1,1,VOTIGO-032,
Votigo,J10,0,0,VOTIGO-011;VOTIGO-020,
Sweeppea,A01,4,4,SWEEPPEA-004;SWEEPPEA-001;SWEEPPEA-035,
Sweeppea,A02,2,2,SWEEPPEA-041,
Sweeppea,A03,1,1,SWEEPPEA-041;SWEEPPEA-009,
Sweeppea,A04,4,4,SWEEPPEA-005;SWEEPPEA-012,
Sweeppea,A05,3,3,SWEEPPEA-006;SWEEPPEA-013;SWEEPPEA-037,
Sweeppea,A06,4,4,SWEEPPEA-007;SWEEPPEA-014,
Sweeppea,A07,4,4,SWEEPPEA-008;SWEEPPEA-035;SWEEPPEA-038,
Sweeppea,A08,3,3,SWEEPPEA-009;SWEEPPEA-029,
Sweeppea,A09,3,3,SWEEPPEA-010,
Sweeppea,A10,3,3,SWEEPPEA-011,
Sweeppea,B01,1,1,SWEEPPEA-040;SWEEPPEA-017,
Sweeppea,B02,2,2,SWEEPPEA-014;SWEEPPEA-023;SWEEPPEA-007,
Sweeppea,B03,0,0,SWEEPPEA-017;SWEEPPEA-028,
Sweeppea,B04,1,1,SWEEPPEA-014;SWEEPPEA-015,
Sweeppea,B05,1,1,SWEEPPEA-015,
Sweeppea,B06,2,2,SWEEPPEA-008;SWEEPPEA-040,
Sweeppea,B07,2,2,SWEEPPEA-008,
Sweeppea,B08,0,0,SWEEPPEA-017;SWEEPPEA-014,
Sweeppea,B09,0,0,SWEEPPEA-017;SWEEPPEA-039,
Sweeppea,B10,0,0,SWEEPPEA-017;SWEEPPEA-039,
